id,mbrand,mmodel,mprice,mquantity,mphoto,category,mdescription
6,Sony ,5-303W Micro TV,15000,50,Tv.jpg,Electronics,AS/IS
7,Nikon,F2,10000,49,DSLR.jpg,Electronics,"Interchangeable viewfinders
50mm 1.4 lens
 street-photography setup"
8,National,N-F21C,1000,50,Fan.jpg,Electronics,"3 blades
Regulator
Advance air system"
14,Gulti,o1,100,0,Gulti.jpg,Kids Corner,"Durable & flexible
"
15,Spinner,S1,50,44,Spinner.jpg,Kids Corner,"Rope
1 Spinner
"
22,Nokia,6110,5000,50,Nokia 6110.jpg,Mobiles,"Three games: Memory - Snake - Logic
Calculator - clock and calendar
Currency converter
Works as a pager
Profile settings
4 colours
"
23,Motorola,ROKR,5000,46,Motorola ROKR.jpg,Mobiles,"Calculator - clock and calendar
Three games: Memory - Snake - Logic
Currency converter
Works as a pager
Profile settings
2 colours
"
16,Gameboy,G5,300,47,gameboy.jpg,Kids Corner,"3 game

"
17,Water Gun,WG-1,150,35,water gun.jpg,Kids Corner,"Fires water at a long distant.

"
18,Blocks,B-1,250,50,Blocks.jpg,Kids Corner,"Manual
"
19,Balloons,B-2,5,46,Balloons.jpg,Kids Corner,"10 piece packet
"
